Campaign Name,Campaign Id,Article Type,Editor Cost,Client Id,Max Word,Company Name,User Name,Cp Cost,Pay By Article,Cp Article Cost,Editor Article Cost,Nofa,Estimate Money,Estimate Total,Assigned Words
Santa Monica--CA--US--Hotel Destination,9775,127,0.010,350,1250,Hipmunk,Hipmunk,0.300,0,0.000,0.000,1,$375,387.5,1250
Seattle--WA--US--Best Of,9784,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Seattle--WA--US--Near Airport,9785,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Seattle--WA--US--Flight Destination,9786,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Seattle--WA--US--Near Neighborhood,9788,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$108,126,1800
Seattle--WA--US--Hotel Properties,9789,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Seattle--WA--US--Top Hotel Properties,9790,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Seattle--WA--US--Hotel Destination,9791,127,0.010,350,1250,Hipmunk,Hipmunk,0.300,0,0.000,0.000,1,$375,387.5,1250
Berlin--Berlin--DE--Best Of,9803,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Berlin--Berlin--DE--Near Airport,9804,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Berlin--Berlin--DE--Flight Destination,9805,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Berlin--Berlin--DE--Near Landmark,9806,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Berlin--Berlin--DE--Near Neighborhood,9807,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$108,126,1800
Berlin--Berlin--DE--Top Hotel Properties,9809,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Berlin--Berlin--DE--Hotel Destination,9810,127,0.010,350,1250,Hipmunk,Hipmunk,0.300,0,0.000,0.000,1,$375,387.5,1250
Venice--Veneto--IT--Best Of,9811,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,3,$135,157.5,2250
Venice--Veneto--IT--Flight Destination,9813,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Venice--Veneto--IT--Near Landmark,9814,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Venice--Veneto--IT--Near Neighborhood,9815,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$108,126,1800
Venice--Veneto--IT--Top Hotel Properties,9817,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Tokyo--None--JP--Near Airport,9820,13,0.010,350,500,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$30,35,500
Tokyo--None--JP--Flight Destination,9821,13,0.010,350,750,Hipmunk,Hipmunk,0.060,0,0.000,0.000,1,$45,52.5,750
Tokyo--None--JP--Near Landmark,9822,13,0.010,350,400,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$144,168,2400
Tokyo--None--JP--Near Neighborhood,9823,13,0.010,350,300,Hipmunk,Hipmunk,0.060,0,0.000,0.000,6,$108,126,1800
Tokyo--None--JP--Hotel Properties,9824,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Tokyo--None--JP--Top Hotel Properties,9825,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Tokyo--None--JP--Hotel Destination,9826,121,0.010,350,1250,Hipmunk,Hipmunk,0.250,0,0.000,0.000,1,$312.5,325,1250
Kowloon--None--HK--Top Hotel Properties,9827,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,10,$0,0,0
Kowloon--None--HK--Hotel Properties,9828,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,30,$0,0,0
Kapaa--HI--US--Hotel Destination,9835,126,0.010,350,200,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$8,10,200
Kapaa--HI--US--Flight Destination,9836,126,0.010,350,50,Hipmunk,Hipmunk,0.040,0,0.000,0.000,1,$2,2.5,50
Kapaa--HI--US--Hotel Properties,9837,123,0.010,350,0,Hipmunk,Hipmunk,0.040,0,0.000,0.000,3,$0,0,0
